RIVER	MILE	SPECIES	LENGTH	WEIGHT	DDT
TRM	315	CCATFISH	43.5	848	6.80
TRM	315	CCATFISH	47.5	1091	13.00
TRM	315	CCATFISH	43.5	715	8.80
TRM	320	CCATFISH	47.5	983	57.00
TRM	320	CCATFISH	51.5	1251	96.00
TRM	320	CCATFISH	49.5	1255	360.00
TRM	320	CCATFISH	47.0	1152	130.00
TRM	320	CCATFISH	47.5	1085	13.00
TRM	320	CCATFISH	47.0	1118	61.00
TRM	320	SMBUFFALO	36.0	1285	12.00
TRM	320	SMBUFFALO	34.5	1178	33.00
TRM	320	SMBUFFALO	44.5	1492	48.00
TRM	320	SMBUFFALO	46.0	1524	10.00
TRM	320	SMBUFFALO	46.0	1473	44.00
TRM	320	SMBUFFALO	32.5	520	0.43
TRM	325	CCATFISH	46.0	863	1100.00
TRM	325	CCATFISH	40.0	549	9.40
TRM	325	CCATFISH	43.5	810	4.10
TRM	325	CCATFISH	46.5	908	2.80
TRM	325	CCATFISH	43.0	804	0.74
TRM	325	CCATFISH	47.5	1179	14.00
TRM	330	CCATFISH	32.0	556	22.00
TRM	330	CCATFISH	40.5	659	9.10
TRM	330	CCATFISH	51.5	1229	140.00
TRM	330	CCATFISH	48.0	1050	4.20
TRM	330	CCATFISH	47.0	952	12.00
TRM	330	CCATFISH	41.0	826	2.00
TRM	330	SMBUFFALO	33.5	599	0.30
TRM	330	SMBUFFALO	47.0	1704	1.20
TRM	340	CCATFISH	50.0	1207	7.10
TRM	340	CCATFISH	45.0	911	180.00
TRM	340	CCATFISH	49.0	1498	1.50
TRM	340	CCATFISH	49.5	1496	2.40
TRM	340	CCATFISH	50.0	1142	4.30
TRM	340	CCATFISH	45.0	879	3.90
TRM	340	SMBUFFALO	32.5	525	0.99
TRM	340	SMBUFFALO	38.0	806	0.45
TRM	340	SMBUFFALO	38.5	694	2.50
TRM	340	SMBUFFALO	36.0	643	0.25
TRM	345	LMBASS	26.5	514	0.58
TRM	345	LMBASS	23.5	358	2.00
TRM	345	LMBASS	30.0	856	2.20
TRM	345	LMBASS	29.0	793	7.40
TRM	345	LMBASS	17.5	173	0.35
TRM	345	LMBASS	36.0	1433	1.90
